age,gender,Mstatus,gradStud,trans,Flang ,Haddress,Hestatus,Plive,Fsize,Fsupport,Osupport,Medu,Fedu, Fjob,Mjob,Rclass,EIRR,PCGA,CCmember,OCmember,Mactivity,Dactivity,Aconsum,Efriend,Srec,Sother,Eresult,Hresult,Presult,gpa,tutor,Itutor,absent,Alab,Fread,Gstudy,Gwork,labInf ,IntUse,handout,refbook,lecture,internet,Edevice,advisor,uniInterest,progInterest,uniLike,deptLike
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Higher education,Higher education,Teacher,Health care related,Friendly,No,Never,Never,Never,Never,Never,Low,High,High,Low,70-84,3.00-3.49,400-449,2.50-2.99,No,No,Always   ,Never,3_4,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Usually,Yes,No,Yes,No
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,No,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Occasionally,Occasionally,Occasionally,Never,Medium,Medium,Low,Very High,85-100,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Sometimes,Sometimes,7_8,High ,Medium,Yes,Sometimes,Yes,No,No,No,No,Never,No,Yes,Yes,Yes
24 – 29,Male,Single,Yes,No,Amharic,Urban,Good,Yes,medium,No,Yes,Secondary education,Secondary education,Merchant,Merchant,Friendly,Yes,Never,Often,Often,Never,Never,Low,Low,Low,Low,55-69,3.00-3.49,400-449,2.00-2.49,Yes,No,Sometimes,Sometimes,3_4,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Never,No,No,No,No
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Secondary education,Secondary education,Farmer,Housewife,Supportive,Yes,Very often,Never,Never,Never,Never,Low,Very High,Very High,Very High,55-69,3.00-3.49,400-449,2.50-2.99,Yes,Yes,Sometimes,Sometimes,5_6,Medium,High ,Yes,Sometimes,Yes,No,No,No,No,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Occasionally,Very often,Very often,Never,Never,Low,Medium,High,Medium,55-69,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Sometimes,Sometimes,3_4,Low,Medium,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,No,Yes,Yes
20 – 23,Male,Single,Yes,No,Afaan Oromo,Rural,Good,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Never,Never,Never,Never,Low,Medium,High,Low,70-84,3.50- 4.00,400-449,3.00-3.49,Yes,No,Sometimes,Sometimes,5_6,Medium,High ,Yes,Always   ,Yes,Yes,No,Yes,Yes,Always ,Yes,No,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Health care related,Health care related,Friendly,Yes,Never,Often,Often,Often,Occasionally,Low,Low,Medium,Medium,85-100,3.50- 4.00,400-449,3.50- 4.00,Yes,Yes,Never,Never,3_4,High ,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Often,Often,Often,Occasionally,Low,Low,Medium,Medium,85-100,3.00-3.49,400-449,3.50- 4.00,Yes,Yes,Never,Usually,3_4,High ,High ,Yes,Sometimes,Yes,No,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,No,Primary education,Secondary education,Merchant,Housewife,Friendly,No,Often,Never,Often,Often,Never,Low,Low,High,Low,55-69,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Sometimes,Usually,7_8,Medium,Medium,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Never,Yes,No,Yes,No
30 – 39,Male,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,No,Higher education,Primary education,Merchant,Merchant,Friendly,No,Never,Often,Often,Often,Never,Low,Low,Low,Medium,85-100,3.50- 4.00,400-449,3.00-3.49,Yes,Yes,Sometimes,Usually,5_6,Medium,High ,No,Sometimes,Yes,No,No,No,Yes,Sometimes,No,No,No,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Never,Never,Never,Low,Low,Medium,Medium,85-100,3.00-3.49,400-449,3.50- 4.00,Yes,Yes,Never,Never,5_6,Medium,Medium,No,Usually,Yes,No,No,No,Yes,Sometimes,Yes,No,no,No
20 – 23,Male,Single,Yes,No,Amharic,Rural,Good,Yes,medium,No,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Never,Never,Never,Low,High,High,High,55-69,3.00-3.49,400-449,2.50-2.99,No,No,Never,Never,5_6,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,No,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Bad,Yes,large,No,Yes,Primary education,Primary education,Merchant,Merchant,Friendly,Yes,Occasionally,Occasionally,Never,Occasionally,Never,Low,Low,Low,Medium,85-100,3.50- 4.00,450-499,2.50-2.99,Yes,Yes,Never,Always   ,5_6,Low,Medium,Yes,Usually,Yes,No,No,No,Yes,Never,Yes,No,neutral,No
20 – 23,Female,Single,Yes,No,Amharic,Urban,Bad,Yes,small,Yes,No,Secondary education,Secondary education,Merchant,Housewife,Friendly,Yes,Occasionally,Occasionally,Often,Very often,Very often,Low,High,High,Very High,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Usually,Sometimes,1_2,Medium,Medium,No,Always   ,No,No,No,Yes,Yes,Sometimes,Yes,Yes,No,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Primary education,Higher education,Health care related,Housewife,Friendly,Yes,Occasionally,Never,Never,Often,Never,Medium,High,Medium,Low,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Sometimes,Sometimes,1_2,Medium,High ,No,Usually,Yes,No,No,Yes,Yes,Sometimes,Yes,Yes,neutral,Yes
20 – 23,Male,Single,Yes,No,Amharic,Rural,Good,No,large,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Occasionally,Never,Occasionally,Medium,Low,Medium,High,85-100,3.00-3.49,450-499,2.00-2.49,Yes,No,Sometimes,Always   ,1_2,Low,Low,Yes,Sometimes,Yes,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Very often,Occasionally,Low,Low,Low,Medium,85-100,3.00-3.49,400-449,2.50-2.99,No,No,Always   ,Always   ,3_4,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,No,No,Primary education,Primary education,Farmer,Merchant,Friendly,Yes,Never,Never,Never,Often,Never,Very High,Very High,Medium,Medium,85-100,3.00-3.49,450-499,2.00-2.49,Yes,Yes,Sometimes,Always   ,1_2,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,small,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Occasionally,Occasionally,Never,Occasionally,Medium,Low,High,Low,85-100,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Never,Sometimes,1_2,Medium,Medium,No,Usually,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Bad,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Low,Medium,Medium,Medium,70-84,3.00-3.49,400-449,2.00-2.49,Yes,No,Never,Usually,3_4,High ,High ,Yes,Usually,Yes,No,No,No,Yes,Sometimes,No,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Bad,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Often,Often,Never,Medium,Medium,Low,Very High,70-84,3.00-3.49,450-499,2.50-2.99,Yes,Yes,Never,Sometimes,5_6,Medium,Medium,Yes,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Health care related,Merchant,Friendly,No,Never,Never,Occasionally,Occasionally,Occasionally,Medium,High,Medium,Medium,85-100,3.50- 4.00,400-449,2.00-2.49,Yes,Yes,Usually,Usually,3_4,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,large,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Never,Never,Occasionally,Low,Low,Medium,Medium,70-84,3.00-3.49,400-449,3.00-3.49,No,No,Never,Sometimes,3_4,Medium,Low,Yes,Sometimes,No,No,Yes,No,No,Sometimes,No,No,No,No
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Secondary education,Secondary education,Merchant,Merchant,Friendly,No,Often,Occasionally,Occasionally,Occasionally,Never,Medium,High,Very High,Medium,55-69,2.50-2.99,350-399,2.50-2.99,Yes,Yes,Sometimes,Sometimes,5_6,Low,Medium,No,Sometimes,Yes,No,No,No,Yes,Never,No,No,neutral,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,Primary education,Secondary education,Farmer,Housewife,Competitive,Yes,Never,Very often,Never,Never,Occasionally,Low,Medium,Medium,Low,70-84,3.00-3.49,450-499,3.00-3.49,No,No,Sometimes,Sometimes,5_6,Low,High ,Yes,Usually,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,Yes,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,No,Yes,Primary education,Primary education,Farmer,Housewife,Supportive,No,Never,Never,Often,Never,Never,Low,Low,Low,Low,55-69,3.50- 4.00,450-499,2.50-2.99,Yes,No,Never,Never,3_4,Medium,Medium,Yes,Sometimes,Yes,No,Yes,Yes,Yes,Sometimes,Yes,No,neutral,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,Secondary education,Secondary education,Merchant,Merchant,Friendly,No,Never,Never,Never,Occasionally,Never,Low,Low,Medium,Low,70-84,3.50- 4.00,450-499,3.50- 4.00,Yes,No,Sometimes,Always   ,3_4,Medium,High ,No,Sometimes,Yes,No,Yes,No,Yes,Sometimes,No,No,neutral,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Secondary education,Higher education,Teacher,Housewife,Supportive,No,Never,Never,Never,Never,Never,Low,Medium,Medium,Low,70-84,3.00-3.49,450-499,3.50- 4.00,Yes,No,Sometimes,Usually,1_2,Medium,Medium,No,Always   ,No,No,No,Yes,Yes,Never,Yes,No,neutral,No
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,No,Yes,Primary education,Primary education,Farmer,Merchant,Friendly,Yes,Never,Never,Never,Never,Never,Low,Low,Low,Low,Less than 55,3.00-3.49,400-449,2.50-2.99,Yes,Yes,Always   ,Always   ,>8 ,Low,Low,Yes,Always   ,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Higher education,Higher education,Teacher,Housewife,Friendly,No,Never,Occasionally,Often,Never,Never,Medium,Low,Low,Low,85-100,3.50- 4.00,400-449,3.50- 4.00,Yes,Yes,Never,Always   ,7_8,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Married,No,No,Amharic,Urban,Good,Yes,medium,Yes,No,Higher education,Higher education,Health care related,Health care related,Friendly,Yes,Never,Never,Never,Never,Occasionally,Low,Low,Very High,Medium,85-100,3.50- 4.00,400-449,2.00-2.49,Yes,Yes,Sometimes,Always   ,3_4,Low,Low,Yes,Usually,Yes,No,No,No,Yes,Never,Yes,No,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,No,medium,Yes,Yes,Secondary education,Primary education,Merchant,Merchant,Friendly,Yes,Never,Never,Never,Very often,Never,Low,High,High,Very High,55-69,3.00-3.49,400-449,2.00-2.49,No,No,Sometimes,Usually,5_6,Medium,Low,Yes,Always   ,Yes,No,No,Yes,Yes,Sometimes,No,No,Yes,neutral
24 – 29,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Often,Often,Often,Never,Never,Low,Low,Medium,Low,70-84,3.50- 4.00,400-449,3.00-3.49,No,No,Sometimes,Sometimes,1_2,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,No,Yes,No,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Occasionally,Occasionally,Never,Never,Low,Low,Medium,Medium,55-69,3.50- 4.00,400-449,3.00-3.49,Yes,Yes,Usually,Usually,7_8,Medium,Medium,No,Usually,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Low,Very High,High,Medium,85-100,3.50- 4.00,400-449,2.50-2.99,Yes,Yes,Sometimes,Usually,3_4,Medium,High ,No,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Occasionally,Occasionally,Occasionally,Never,Never,Low,Medium,Medium,Medium,70-84,3.50- 4.00,400-449,3.00-3.49,No,No,Never,Usually,7_8,Medium,Medium,No,Usually,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Bad,Yes,large,No,No,Primary education,Secondary education,Farmer,Housewife,Friendly,Yes,Never,Never,Occasionally,Never,Never,Low,Medium,Medium,Low,55-69,3.50- 4.00,400-449,3.00-3.49,Yes,Yes,Never,Usually,3_4,Medium,High ,No,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,No,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Supportive,No,Never,Never,Never,Never,Never,Medium,Low,Medium,Low,55-69,3.00-3.49,400-449,2.50-2.99,Yes,Yes,Never,Always   ,3_4,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,No,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Low,Low,Low,Low,85-100,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Sometimes,Never,1_2,Low,Low,No,Usually,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Teacher,Teacher,Friendly,Yes,Never,Never,Never,Often,Never,Low,Low,Medium,Very High,55-69,3.00-3.49,450-499,3.50- 4.00,Yes,Yes,Never,Always   ,1_2,Low,High ,No,Sometimes,Yes,No,No,No,Yes,Never,Yes,No,No,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Medium,Low,Medium,Low,85-100,3.50- 4.00,350-399,2.00-2.49,No,Yes,Never,Sometimes,3_4,Medium,Low,Yes,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Female,Married,No,No,Afaan Oromo,Rural,Bad,Yes,large,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Never,Never,Never,Occasionally,Low,Low,Medium,Medium,70-84,3.00-3.49,600-649,3.00-3.49,No,Yes,Sometimes,Usually,3_4,Medium,Low,Yes,Usually,Yes,No,Yes,No,No,Sometimes,Yes,Yes,Yes,neutral
30 – 39,Female,Separated,No,No,Amharic,Urban,Bad,Yes,large,Yes,Yes,Higher education,Higher education,Health care related,Teacher,Friendly,No,Never,Never,Very often,Often,Occasionally,Low,Medium,Low,Medium,70-84,2.50-2.99,450-499,3.00-3.49,Yes,Yes,Sometimes,Usually,3_4,High ,High ,No,Usually,No,No,No,Yes,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Bad,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Occasionally,Never,Occasionally,Never,Low,Low,Low,Medium,55-69,3.00-3.49,400-449,2.50-2.99,Yes,No,Never,Usually,3_4,Low,Medium,Yes,Never,No,Yes,No,No,Yes,Usually,Yes,No,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,No,medium,No,Yes,Higher education,Higher education,Teacher,Teacher,Friendly,Yes,Never,Occasionally,Never,Often,Occasionally,High,High,Medium,Low,70-84,2.50-2.99,400-449,3.00-3.49,No,Yes,Never,Sometimes,3_4,Low,Medium,Yes,Always   ,Yes,No,No,No,Yes,Usually,Yes,No,No,No
20 – 23,Female,Married,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Secondary education,Higher education,Health care related,Merchant,Friendly,No,Never,Never,Never,Never,Never,Low,Low,Low,Medium,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,No,Always   ,Always   ,5_6,High ,High ,Yes,Usually,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,neutral
20 – 23,Female,Single,Yes,No,Amharic,Rural,Good,Yes,large,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Occasionally,Never,Never,Never,Low,Medium,High,High,Less than 55,2.50-2.99,400-449,2.50-2.99,Yes,Yes,Always   ,Always   ,3_4,Medium,Medium,Yes,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Rural,Bad,Yes,large,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Low,High,Very High,Low,55-69,3.00-3.49,450-499,2.50-2.99,Yes,No,Usually,Sometimes,7_8,Medium,Medium,No,Sometimes,No,No,Yes,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,No,Primary education,Primary education,Merchant,Merchant,Friendly,No,Often,Never,Often,Often,Occasionally,Medium,Medium,Medium,Medium,70-84,2.50-2.99,450-499,3.00-3.49,Yes,No,Usually,Sometimes,5_6,Medium,Medium,No,Sometimes,No,No,Yes,No,Yes,Sometimes,Yes,Yes,neutral,Yes
20 – 23,Male,Single,Yes,No,Amharic,Rural,Good,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Supportive,No,Never,Never,Occasionally,Very often,Never,High,High,High,High,55-69,3.00-3.49,500-549,3.00-3.49,No,Yes,Sometimes,Usually,3_4,Medium,Medium,No,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Rural,Bad,Yes,medium,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Often,Occasionally,Occasionally,Never,Never,Low,Low,High,High,Less than 55,2.50-2.99,400-449,2.50-2.99,Yes,Yes,Sometimes,Always   ,5_6,Medium,Medium,Yes,Usually,No,Yes,No,No,Yes,Always ,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Higher education,Merchant,Merchant,Supportive,No,Never,Never,Never,Very often,Never,Medium,Medium,High,Low,85-100,3.00-3.49,400-449,2.50-2.99,Yes,Yes,Always   ,Always   ,1_2,Medium,Medium,No,Always   ,No,No,Yes,No,Yes,Always ,Yes,Yes,No,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,small,Yes,No,Higher education,Higher education,Health care related,Health care related,Friendly,Yes,Never,Never,Never,Never,Occasionally,Low,Low,High,Medium,70-84,3.50- 4.00,400-449,2.50-2.99,Yes,Yes,Never,Usually,5_6,Low,Medium,No,Sometimes,Yes,No,No,No,Yes,Never,No,No,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Higher education,Higher education,Health care related,Housewife,Friendly,No,Never,Never,Occasionally,Often,Never,Low,High,Low,High,70-84,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Never,Always   ,5_6,Medium,High ,No,Sometimes,Yes,No,No,No,Yes,Never,Yes,No,No,No
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Secondary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Very often,Never,Often,Low,Low,Low,Low,70-84,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Sometimes,Sometimes,7_8,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Sometimes,No,Yes,No,No
20 – 23,Female,Single,Yes,Yes,Amharic,Urban,Good,Yes,medium,No,No,Secondary education,Secondary education,Merchant,Merchant,Friendly,Yes,Never,Never,Never,Often,Never,Medium,High,Medium,Low,70-84,3.00-3.49,400-449,2.50-2.99,No,No,Usually,Usually,7_8,Medium,Medium,Yes,Never,No,No,Yes,No,Yes,Never,Yes,Yes,No,neutral
20 – 23,Male,Single,Yes,No,Afaan Oromo,Urban,Good,Yes,large,No,No,Secondary education,Primary education,Merchant,Housewife,Friendly,No,Never,Never,Often,Never,Never,Low,Low,Low,Low,70-84,3.00-3.49,400-449,3.00-3.49,Yes,No,Never,Sometimes,5_6,Low,Medium,No,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Rural,Good,Yes,large,Yes,Yes,Secondary education,Primary education,Merchant,Health care related,Friendly,Yes,Occasionally,Never,Very often,Never,Very often,Medium,High,Medium,Medium,70-84,3.00-3.49,450-499,2.50-2.99,Yes,Yes,Sometimes,Always   ,3_4,High ,High ,Yes,Never,Yes,No,No,No,Yes,Always ,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,No,large,No,No,Secondary education,Secondary education,Farmer,Housewife,Friendly,No,Never,Occasionally,Occasionally,Often,Very often,Low,Low,Medium,High,70-84,3.00-3.49,350-399,3.00-3.49,Yes,Yes,Never,Usually,5_6,Medium,High ,Yes,Always   ,Yes,No,No,No,Yes,Always ,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Primary education,Secondary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Medium,Medium,Medium,Medium,70-84,3.00-3.49,400-449,2.00-2.49,Yes,Yes,Sometimes,Usually,3_4,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,small,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Never,Never,Never,Never,Low,Medium,Very High,Very High,85-100,3.50- 4.00,350-399,2.00-2.49,No,No,Sometimes,Sometimes,1_2,Low,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,neutral
24 – 29,Male,Single,Yes,No,Amharic,Rural,Bad,Yes,large,Yes,No,Secondary education,Secondary education,Teacher,Merchant,Friendly,Yes,Never,Occasionally,Never,Occasionally,Never,Low,Low,Medium,Low,55-69,2.50-2.99,350-399,2.00-2.49,Yes,No,Never,Sometimes,1_2,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Sometimes,No,No,No,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Higher education,Higher education,Teacher,Teacher,Friendly,Yes,Occasionally,Never,Often,Never,Never,Low,Medium,Medium,Medium,70-84,3.00-3.49,400-449,3.50- 4.00,Yes,Yes,Never,Always   ,7_8,Low,Medium,No,Usually,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Bad,Yes,medium,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Occasionally,Often,Never,Never,Never,Low,Medium,Medium,Medium,70-84,3.00-3.49,400-449,3.50- 4.00,Yes,Yes,Sometimes,Never,3_4,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,No,medium,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Occasionally,Very often,Never,Low,High,Very High,Low,70-84,3.50- 4.00,400-449,3.00-3.49,Yes,Yes,Never,Never,3_4,Medium,Medium,No,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,No,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Merchant,Housewife,Friendly,Yes,Occasionally,Never,Occasionally,Occasionally,Occasionally,Low,Medium,Very High,Low,85-100,2.50-2.99,400-449,3.00-3.49,Yes,Yes,Never,Always   ,7_8,Medium,High ,No,Usually,Yes,No,No,No,Yes,Never,Yes,No,Yes,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,Primary education,Primary education,Merchant,Merchant,Friendly,Yes,Occasionally,Often,Often,Often,Never,Low,Medium,High,High,55-69,3.50- 4.00,400-449,3.50- 4.00,Yes,No,Sometimes,Usually,3_4,Low,Low,No,Always   ,Yes,No,No,No,Yes,Never,No,No,neutral,No
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Secondary education,Higher education,Health care related,Housewife,Friendly,No,Never,Never,Often,Never,Never,Low,Medium,High,High,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,No,Never,Sometimes,7_8,Medium,Medium,Yes,Always   ,Yes,No,No,Yes,Yes,Never,No,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,No,Higher education,Higher education,Investor,Teacher,Friendly,Yes,Occasionally,Never,Never,Never,Occasionally,Low,Medium,High,Low,85-100,3.50- 4.00,400-449,3.00-3.49,Yes,No,Sometimes,Never,7_8,Medium,Medium,Yes,Usually,No,Yes,No,No,No,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Often,Occasionally,Never,Never,Never,Low,Medium,High,Low,70-84,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Never,Always   ,5_6,Medium,High ,Yes,Sometimes,No,Yes,No,No,Yes,Never,Yes,Yes,No,No
